tube,treatment,day,dead,TPI,CO1,p47,,
81,0.01 FFU,day14,no,yes,yes,no,,
82,0.01 FFU,day14,no,yes,yes,no,,"note, any sample who did not amplify TPI and CO1 is removed"
83,0.01 FFU,day14,no,yes,yes,no,,
84,0.01 FFU,day14,no,yes,yes,yes,,
85,0.01 FFU,day14,no,yes,yes,no,,
86,0.01 FFU,day14,no,yes,yes,no,,
87,0.01 FFU,day14,no,yes,yes,no,,
88,0.01 FFU,day14,no,yes,yes,no,,
89,0.01 FFU,day14,no,yes,yes,no,,
90,0.01 FFU,day14,no,yes,yes,no,,
91,0.01 FFU,day14,no,yes,yes,no,,
92,0.01 FFU,day14,no,yes,yes,no,,
93,0.01 FFU,day14,no,yes,yes,no,,
94,0.01 FFU,day14,no,yes,yes,no,,
95,0.05 FFU,day14,no,yes,yes,yes,,
96,0.05 FFU,day14,no,yes,yes,yes,,
97,0.05 FFU,day14,no,yes,yes,no,,
85,0.01 FFU,day14,no,yes,yes,no,,
86,0.01 FFU,day14,no,yes,yes,no,,
87,0.01 FFU,day14,no,yes,yes,no,,
88,0.01 FFU,day14,no,yes,yes,no,,
89,0.01 FFU,day14,no,yes,yes,no,,
90,0.01 FFU,day14,no,yes,yes,no,,
91,0.01 FFU,day14,no,yes,yes,no,,
92,0.01 FFU,day14,no,yes,no,yes,,
93,0.01 FFU,day14,no,yes,yes,yes,,
94,0.01 FFU,day14,no,yes,yes,yes,,
95,0.01 FFU,day14,no,yes,yes,no,,
96,0.01 FFU,day14,no,yes,yes,yes,,
97,0.05 FFU,day14,no,yes,yes,yes,,
98,0.05 FFU,day14,no,yes,yes,yes,,
2,0.01 FFU,day6,yes,yes,yes,yes,,
50,0.01 FFU,day12,yes,yes,no,yes,,
51,0.05 FFU,day12,yes,yes,yes,yes,,
52,0.05 FFU,day12,yes,yes,yes,yes,,
66,0.01 FFU,day14,yes,yes,yes,yes,,
67,0.05 FFU,day14,yes,yes,yes,yes,,
55,0.01 FFU,day12,yes,yes,yes,yes,,
56,0.05 FFU,day12,yes,yes,yes,yes,,
57,0.05 FFU,day12,yes,yes,no,yes,,
58,0.05 FFU,day12,yes,yes,no,yes,,
4,0.01 FFU,day6,yes,yes,no,no,,
3,3 FFU,day3,yes,yes,yes,yes,,
5,0.01 FFU,day6,yes,yes,yes,no,,
6,0.05 FFU,day6,yes,yes,yes,yes,,
7,0.05 FFU,day6,yes,yes,yes,yes,,
8,0.05 FFU,day6,yes,yes,yes,yes,,
10,3 FFU,day6,yes,yes,yes,yes,,
11,3 FFU,day6,yes,yes,yes,yes,,
13,3 FFU,day6,yes,yes,yes,yes,,
15,0.01 FFU,day9,yes,yes,yes,yes,,
16,0.01 FFU,day9,yes,yes,yes,yes,,
17,0.01 FFU,day9,yes,yes,yes,yes,,
18,0.05 FFU,day9,yes,yes,yes,yes,,
19,0.05 FFU,day9,yes,yes,yes,yes,,
20,0.05 FFU,day9,yes,yes,yes,yes,,
21,0.05 FFU,day9,yes,yes,yes,yes,,
22,0.05 FFU,day9,yes,yes,yes,yes,,
23,0.05 FFU,day9,yes,yes,yes,yes,,
24,0.05 FFU,day9,yes,yes,yes,yes,,
26,0.05 FFU,day9,yes,yes,yes,yes,,
27,1 FFU,day9,yes,yes,yes,yes,,
28,1 FFU,day9,yes,yes,yes,yes,,
29,1 FFU,day9,yes,yes,yes,yes,,
31,1 FFU,day9,yes,yes,yes,yes,,
32,1 FFU,day9,yes,yes,yes,yes,,
33,1 FFU,day9,yes,yes,yes,yes,,
34,1 FFU,day9,yes,yes,yes,yes,,
35,1 FFU,day9,yes,yes,yes,yes,,
36,1 FFU,day9,yes,yes,yes,yes,,
37,1 FFU,day9,yes,yes,yes,yes,,
38,1 FFU,day9,yes,yes,yes,yes,,
39,1 FFU,day9,yes,yes,no,yes,,
40,1 FFU,day9,yes,yes,yes,yes,,
41,1 FFU,day9,yes,yes,yes,yes,,
42,1 FFU,day9,yes,yes,no,yes,,
43,3 FFU,day9,yes,yes,yes,yes,,
44,3 FFU,day9,yes,yes,yes,yes,,
45,3 FFU,day9,yes,yes,yes,yes,,
47,3 FFU,day9,yes,yes,yes,yes,,
48,3 FFU,day9,yes,yes,yes,yes,,
50,3 FFU,day9,yes,yes,yes,yes,,
51,3 FFU,day9,yes,yes,yes,yes,,
52,3 FFU,day9,yes,yes,yes,yes,,
1,0.05 FFU,day3,yes,yes,yes,no,,
3,0.05 FFU,day6,yes,yes,yes,yes,,
4,0.05 FFU,day6,yes,yes,yes,yes,,
5,0.05 FFU,day6,yes,yes,yes,yes,,
6,1 FFU,day6,yes,yes,yes,yes,,
8,1 FFU,day6,yes,yes,yes,yes,,
9,3 FFU,day6,yes,yes,yes,yes,,
10,3 FFU,day6,yes,yes,yes,yes,,
11,3 FFU,day6,yes,yes,yes,yes,,
12,0.01 FFU,day9,yes,yes,yes,no,,
13,0.01 FFU,day9,yes,yes,no,yes,,
14,0.05 FFU,day9,yes,yes,yes,yes,,
15,0.05 FFU,day9,yes,yes,yes,yes,,
16,0.05 FFU,day9,yes,yes,yes,yes,,
17,0.05 FFU,day9,yes,yes,yes,yes,,
18,0.05 FFU,day9,yes,yes,yes,yes,,
19,0.05 FFU,day9,yes,yes,yes,yes,,
20,0.05 FFU,day9,yes,yes,yes,yes,,
21,0.05 FFU,day9,yes,yes,yes,yes,,
22,0.05 FFU,day9,yes,yes,no,yes,,
23,0.05 FFU,day9,yes,yes,no,yes,,
24,1 FFU,day9,yes,yes,yes,yes,,
25,1 FFU,day9,yes,yes,yes,yes,,
26,1 FFU,day9,yes,yes,yes,yes,,
27,1 FFU,day9,yes,yes,yes,yes,,
28,1 FFU,day9,yes,yes,no,yes,,
29,1 FFU,day9,yes,yes,yes,yes,,
30,1 FFU,day9,yes,yes,yes,yes,,
31,1 FFU,day9,yes,yes,no,yes,,
32,1 FFU,day9,yes,yes,yes,yes,,
33,1 FFU,day9,yes,yes,yes,yes,,
34,1 FFU,day9,yes,yes,yes,yes,,
35,3 FFU,day9,yes,yes,no,yes,,
36,3 FFU,day9,yes,yes,yes,yes,,
37,3 FFU,day9,yes,yes,yes,yes,,
38,3 FFU,day9,yes,yes,yes,yes,,
39,3 FFU,day9,yes,yes,yes,yes,,
40,3 FFU,day9,yes,yes,yes,yes,,
41,3 FFU,day9,yes,yes,yes,yes,,
42,3 FFU,day9,yes,yes,no,yes,,
43,3 FFU,day9,yes,yes,yes,yes,,
44,3 FFU,day9,yes,yes,yes,yes,,
45,3 FFU,day9,yes,yes,yes,yes,,
46,3 FFU,day9,yes,yes,yes,yes,,
47,3 FFU,day9,yes,yes,yes,yes,,
48,3 FFU,day9,yes,yes,yes,yes,,
49,3 FFU,day9,yes,yes,yes,yes,,
53,3 FFU,day9,yes,yes,yes,yes,,
54,3 FFU,day9,yes,yes,yes,yes,,
60,1 FFU,day12,yes,yes,yes,yes,,
61,1 FFU,day12,yes,yes,no,yes,,
62,1 FFU,day12,yes,yes,yes,yes,,
63,1 FFU,day12,yes,yes,yes,yes,,
64,3 FFU,day12,yes,yes,yes,yes,,
65,3 FFU,day12,yes,yes,no,yes,,
53,1 FFU,day12,yes,yes,yes,yes,,
54,1 FFU,day12,yes,yes,yes,yes,,
55,1 FFU,day12,yes,yes,yes,yes,,
56,1 FFU,day12,yes,yes,yes,yes,,
57,1 FFU,day12,yes,yes,yes,yes,,
58,1 FFU,day12,yes,yes,yes,yes,,
59,3 FFU,day12,yes,yes,yes,yes,,
60,3 FFU,day12,yes,yes,yes,yes,,